Dataset Name,Capacity,Num Vertices,Area,Num non convex vertices,MSA- Inital decomposition,Num of Initial Cells,MSA-Final Decomposition,Num of final cells,Sum of Costs of Routes,Num of turns,Num of routes,Compute time (s)
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38385
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.39067
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38354
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38518
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.36857
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.3869
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38311
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38667
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.36589
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.3845
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.36676
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38298
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38396
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.39877
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38158
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.37203
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38529
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.3832
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38412
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.39486
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38683
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38675
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38633
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38082
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.36384
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.37935
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.36437
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.41953
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38467
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38069
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38095
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38147
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.36885
vm25/00,3093.65,160,10727,83,313.11,34,291.11,5,12461.5,804,5,1.38112
