Dataset Name,Capacity,Num Vertices,Area,Num non convex vertices,MSA- Inital decomposition,Num of Initial Cells,MSA-Final Decomposition,Num of final cells,Sum of Costs of Routes,Num of turns,Num of routes,Compute time (s)
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38727
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38148
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38529
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37819
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38065
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38157
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38994
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38338
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38559
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.39903
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38051
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37971
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.39048
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37893
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38208
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38071
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.39492
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38012
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.39686
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37488
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.40542
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37989
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37646
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37899
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.3791
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38179
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38217
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.383
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38169
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.3847
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37624
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.3982
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.381
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37948
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37823
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.3781
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37867
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.38527
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.37871
