Dataset Name,Capacity,Num Vertices,Area,Num non convex vertices,MSA- Inital decomposition,Num of Initial Cells,MSA-Final Decomposition,Num of final cells,Sum of Costs of Routes,Num of turns,Num of routes,Compute time (s)
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.41765
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38484
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.3788
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38378
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37546
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37953
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37322
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.3825
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39876
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38095
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38731
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38457
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38309
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38355
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.3878
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.40486
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38736
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37876
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38317
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.3789
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38133
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38235
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.42508
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38259
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38567
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38083
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.381
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38536
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37902
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38202
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39819
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37965
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37856
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.3818
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.40738
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.3765
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38134
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38025
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38039
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37793
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39388
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37877
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38197
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38541
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38123
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.3833
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.40843
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.41105
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.3762
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.40379
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37795
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38398
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39477
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38503
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.3847
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38026
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.40017
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38282
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37977
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37754
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39085
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39559
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39256
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37482
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37748
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38491
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39155
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38025
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38022
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38183
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39667
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38245
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.41419
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37853
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37974
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38742
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38635
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38639
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38519
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38248
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39189
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39057
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39089
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38814
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39374
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38477
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38026
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37744
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38167
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37346
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38756
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.3812
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37921
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.40033
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.384
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.39228
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.37668
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38046
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38134
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.38054
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.178567
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.18477
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.185239
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.180732
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.180785
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.179626
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.181134
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.19414
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.202106
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.201025
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.187977
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.18621
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.190565
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.186103
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.18755
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.183248
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.186462
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.186928
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.187436
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.196509
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.182182
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.18784
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.185946
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.185804
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.184366
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.183993
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.198971
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.188076
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.196079
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.186144
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.184588
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.18331
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.184816
