Dataset Name,Capacity,Num Vertices,Area,Num non convex vertices,MSA- Inital decomposition,Num of Initial Cells,MSA-Final Decomposition,Num of final cells,Sum of Costs of Routes,Num of turns,Num of routes,Compute time (s)
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.31057
vm25/01,2155.07,44,6516,20,146,6,146,2,7208.6,344,4,0.178482
vm25/02,2382.74,100,6943,60,190.359,27,188.041,8,8046.48,513,4,0.395078
vm25/03,1154.61,51,3334,29,103.512,14,103.512,5,3912.85,278,4,0.160012
vm25/04,2268.54,74,6596,40,194.881,12,194.881,2,7618.45,487,4,0.344273
vm25/05,2372.44,116,6894.5,67,187.293,19,183.207,7,7957.37,507,4,0.711778
vm25/06,1274.49,71,3624.5,38,135,16,135,2,4285.53,367,4,0.273442
vm25/07,1744.72,63,5221.5,36,139.272,14,133.893,7,5938.76,366,4,0.249784
vm25/08,2090.9,105,5889,50,221.333,15,220.23,7,7019.71,588,4,0.669347
vm25/09,1355.34,53,3959,25,122.86,11,117.328,7,4595.84,305,4,0.223938
vm25/10,3410.49,127,10075,71,265.401,26,263.317,6,11419.7,698,4,0.846665
vm25/11,3150.18,109,9203,52,264.387,27,262.387,5,10543.9,674,4,0.980538
vm25/12,998.919,37,2944,16,69,9,69,1,3356.73,185,4,0.0982762
vm25/13,375.336,18,1058,7,39,1,39,1,1283.1,102,4,0.0422106
vm25/14,1406.96,75,3996.5,35,152,15,149,7,4760.29,394,4,0.240692
vm25/15,1603.14,84,4511.5,40,155,18,155,4,5441.97,428,4,0.466325
vm25/16,1981.92,126,5643,75,206.251,27,205.648,5,6699.77,577,4,0.793586
vm25/17,1153.52,38,3427,17,82,3,82,2,3898.57,211,4,0.142343
vm25/18,1300.74,69,3773,39,117.519,16,116.084,5,4380.71,334,4,0.360018
vm25/19,1291.67,68,3746.5,36,121.641,18,121.382,5,4396.19,334,4,0.291516
vm25/20,1362.43,72,3924,40,130.847,14,129.468,5,4617.14,360,4,0.262591
vm25/21,1369.39,61,3900,35,119,10,118,3,4623.78,315,4,0.214515
vm25/22,1212.4,57,3476.5,26,115.493,13,113.945,5,4103.29,302,4,0.263669
vm25/23,1947.68,77,5655,36,181,21,181,7,6565.65,464,4,0.316703
vm25/24,1256.1,69,3504,36,134,14,122.568,7,4298.97,342,4,0.203281
