Dataset Name,Capacity,Num Vertices,Area,Num non convex vertices,MSA- Inital decomposition,Num of Initial Cells,MSA-Final Decomposition,Num of final cells,Sum of Costs of Routes,Num of turns,Num of routes,Compute time (s)
vm25/00,9280.95,160,10727,83,313.11,34,291.11,5,12341.6,793,2,1.31709
vm25/01,5387.66,44,6516,20,146,6,146,2,7183.55,343,2,0.165377
vm25/02,5956.85,100,6943,60,190.359,27,188.041,8,7978.33,510,2,0.40449
vm25/03,2886.52,51,3334,29,103.512,14,103.512,5,3841.63,269,2,0.169323
vm25/04,5671.35,74,6596,40,194.881,12,194.881,2,7561.07,481,2,0.346913
vm25/05,5931.1,116,6894.5,67,187.293,19,183.207,7,7908.14,506,2,0.736195
vm25/06,3186.22,71,3624.5,38,135,16,135,2,4251.29,367,2,0.303903
vm25/07,4361.8,63,5221.5,36,139.272,14,133.893,7,5865.45,356,2,0.254728
vm25/08,5227.25,105,5889,50,221.333,15,220.23,7,6974.63,581,2,0.657331
vm25/09,3388.35,53,3959,25,122.86,11,117.328,7,4518.62,305,2,0.224411
vm25/10,8526.22,127,10075,71,265.401,26,263.317,6,11384.4,696,2,0.871372
vm25/11,7875.45,109,9203,52,264.387,27,262.387,5,10521.2,674,2,0.966065
vm25/12,2497.3,37,2944,16,69,9,69,1,3330.73,184,2,0.114363
vm25/13,938.34,18,1058,7,39,1,39,1,1251.12,102,2,0.040608
vm25/14,3517.39,75,3996.5,35,152,15,149,7,4690.85,389,2,0.26106
vm25/15,4007.84,84,4511.5,40,155,18,155,4,5349.44,427,2,0.469553
vm25/16,4954.8,126,5643,75,206.251,27,205.648,5,6611.04,567,2,0.811645
vm25/17,2883.8,38,3427,17,82,3,82,2,3845.07,212,2,0.124077
vm25/18,3251.84,69,3773,39,117.519,16,116.084,5,4339.42,331,2,0.317967
vm25/19,3229.17,68,3746.5,36,121.641,18,121.382,5,4313.98,330,2,0.296019
vm25/20,3406.07,72,3924,40,130.847,14,129.468,5,4545.16,358,2,0.259973
vm25/21,3423.49,61,3900,35,119,10,118,3,4563.92,315,2,0.209179
vm25/22,3031.01,57,3476.5,26,115.493,13,113.945,5,4043.7,297,2,0.261848
vm25/23,4869.2,77,5655,36,181,21,181,7,6516.16,458,2,0.330987
vm25/24,3140.24,69,3504,36,134,14,122.568,7,4201.87,340,2,0.221133
